FECHA|CLIENTE_ID|CANAL|CALIFICACION|COMENTARIO
2026-02-25|CLI-00569|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-14|CLI-01278|tienda_sur|4|La tienda estaba muy ordenada y limpia.
2026-01-14|CLI-00878|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-02-07|CLI-00254|online|2|Tardaron demasiado en atenderme.
2026-03-07|CLI-02836|tienda_norte|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-16|CLI-00664|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-01-20|CLI-01775|tienda_norte|1|Los precios son más altos que en otros lugares.
2026-02-21|CLI-01052|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-16|CLI-00968|tienda_norte|3|El producto cumplió las expectativas básicas.
2026-02-17|CLI-01485|tienda_sur|5|Muy buena variedad de productos disponibles.
2026-01-29|CLI-02739|tienda_sur|4|Proceso de compra rápido y sin complicaciones.
2026-01-10|CLI-00876|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-25|CLI-02225|online|5|Precios competitivos y buena experiencia general.
2026-02-05|CLI-02695|tienda_norte|4|Los productos son de muy buena calidad.
2026-02-06|CLI-00224|tienda_norte|5|Excelente atención del personal, volveré pronto.
2026-02-13|CLI-01891|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-03-08|CLI-02351|tienda_sur|1|El producto llegó con empaque dañado.
2026-03-10|CLI-00298|tienda_norte|4|Muy buena variedad de productos disponibles.
2026-03-25|CLI-02698|tienda_norte|3|El producto cumplió las expectativas básicas.
2026-02-01|CLI-02899|online|5|Excelente atención del personal, volveré pronto.
2026-01-27|CLI-00576|online|5|Precios competitivos y buena experiencia general.
2026-03-23|CLI-00800|tienda_sur|1|El producto llegó con empaque dañado.
2026-02-25|CLI-02704|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-01-05|CLI-02184|tienda_sur|2|El personal no supo resolver mi consulta.
2026-01-03|CLI-00021|tienda_sur|5|Proceso de compra rápido y sin complicaciones.
2026-01-29|CLI-00516|tienda_norte|4|Excelente atención del personal, volveré pronto.
2026-03-03|CLI-02943|tienda_norte|3|La atención fue adecuada pero no destacó.
2026-03-19|CLI-02257|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-02-10|CLI-00778|tienda_sur|2|Muy poca variedad en la categoría que busqué.
2026-03-10|CLI-01031|online|2|Tardaron demasiado en atenderme.
2026-03-25|CLI-01320|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-02-03|CLI-02632|tienda_sur|3|La atención fue adecuada pero no destacó.
2026-02-16|CLI-01354|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-02-19|CLI-00783|tienda_norte|4|Los productos son de muy buena calidad.
2026-02-04|CLI-02622|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-01-04|CLI-02457|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-01-19|CLI-01910|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-12|CLI-00492|online|5|Proceso de compra rápido y sin complicaciones.
2026-01-02|CLI-02542|tienda_norte|5|Proceso de compra rápido y sin complicaciones.
2026-01-16|CLI-00575|online|4|Excelente atención del personal, volveré pronto.
2026-03-11|CLI-02326|tienda_sur|4|Proceso de compra rápido y sin complicaciones.
2026-02-28|CLI-00033|tienda_sur|5|Proceso de compra rápido y sin complicaciones.
2026-01-10|CLI-01367|tienda_norte|3|Tiempo de espera aceptable pero podría mejorar.
2026-03-21|CLI-02394|online|4|Muy buena variedad de productos disponibles.
2026-01-23|CLI-02753|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-20|CLI-02270|online|3|La atención fue adecuada pero no destacó.
2026-01-03|CLI-02589|tienda_sur|4|Precios competitivos y buena experiencia general.
2026-03-19|CLI-01734|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-14|CLI-02450|online|3|Regular, algunos productos no estaban disponibles.
2026-01-11|CLI-01857|online|4|Proceso de compra rápido y sin complicaciones.
2026-03-24|CLI-01016|tienda_norte|5|Los productos son de muy buena calidad.
2026-02-19|CLI-02701|tienda_norte|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-03|CLI-01168|tienda_norte|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-27|CLI-02195|online|4|Proceso de compra rápido y sin complicaciones.
2026-01-01|CLI-00655|tienda_norte|3|Tiempo de espera aceptable pero podría mejorar.
2026-01-03|CLI-02492|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-01-25|CLI-01458|tienda_sur|4|Muy buena variedad de productos disponibles.
2026-01-21|CLI-01859|online|4|Los productos son de muy buena calidad.
